,words,frequency_of_occurrence
0,love,168
1,life,108
2,like,93
3,I,80
4,people,70
5,make,66
6,good,64
7,never,64
8,heart,61
9,always,61
10,one,60
11,happy,57
12,best,54
13,things,52
14,feel,52
15,you.,51
16,world,49
17,",",47
18,i'm,46
19,get,43
20,know,38
21,day,38
22,beautiful,37
23,someone,36
24,every,36
25,live,35
26,want,34
27,bad,31
28,smile,31
29,way,31
30,time,30
31,much,30
32,even,29
33,let,29
34,can't,28
35,need,28
36,happiness,28
37,"you,",27
38,keep,26
39,think,26
40,go,26
41,friends,26
42,new,26
43,better,26
44,little,25
45,come,25
46,great,25
47,person,24
48,fear,24
49,going,24
50,stay,24
51,life.,24
52,could,23
53,man,23
54,makes,23
55,everything,23
56,thing,22
57,cannot,22
58,would,22
59,without,22
60,love.,21
61,making,21
62,made,21
63,look,21
64,thank,21
65,take,20
66,see,20
67,really,19
68,find,19
69,may,19
70,us,18
71,hope,18
72,something,18
73,sometimes,18
74,miss,18
75,don’t,18
76,ever,18
77,night,17
78,enough,17
79,understand,16
80,it.,16
81,beauty,16
82,mind,16
83,words,16
84,right,15
85,back,15
86,must,15
87,.,15
88,giving,15
89,u,15
90,fun,15
91,ones,15
92,lose,15
93,still,15
94,day.,14
95,feeling,14
96,soul,14
97,The,14
98,got,14
99,believe,14
100,give,14
101,perfect,14
102,many,14
103,anything,14
104,first,14
105,birthday,13
106,true,13
107,kind,13
108,them.,13
109,light,13
110,work,13
111,times,13
112,me.,13
113,dreams,13
114,god,13
115,amazing,13
116,eyes,12
117,full,12
118,away,12
119,nothing,12
120,today,12
121,break,12
122,matter,12
123,hear,12
124,story,12
125,greatest,12
126,show,12
127,hard,12
128,loving,12
129,everyone,11
130,part,11
131,peace,11
132,change,11
133,year,11
134,sad,11
135,getting,11
136,trust,11
137,"love,",11
138,laugh,11
139,stop,11
140,enjoy,11
141,friends.,11
142,wish,11
143,"it,",10
144,hold,10
145,become,10
146,living,10
147,well,10
148,hurt,10
149,fall,10
150,also,10
151,friend,10
152,"life,",10
153,thinking,10
154,gives,10
155,hate,10
156,"me,",9
157,days,9
158,whole,9
159,learn,9
160,long,9
161,forget,9
162,often,9
163,gonna,9
164,pain,9
165,remember,9
166,loved,9
167,real,9
168,might,9
169,lot,9
170,difficult,9
171,darkness,9
172,say,9
173,try,8
174,others,8
175,let's,8
176,heart.,8
177,hearts,8
178,side,8
179,hell,8
180,promises,8
181,tears,8
182,A,8
183,finally,8
184,close,8
185,two,8
186,family,8
187,inside,8
188,mean,8
189,world.,8
190,truth,8
191,faith,8
192,broken,8
193,cause,8
194,trying,8
195,us.,8
196,i've,8
197,others.,8
198,mind.,8
199,kept,8
200,that's,8
201,nights,7
202,meet,7
203,step,7
204,loves,7
205,success.,7
206,place,7
207,wear,7
208,To,7
209,rest,7
210,expect,7
211,regret,7
212,better.,7
213,place.,7
214,there's,7
215,everything.,7
216,face,7
217,last,7
218,together,7
219,wonder,7
220,mess,7
221,cold,7
222,grow,7
223,different,7
224,guys,7
225,open,7
226,started,7
227,whats,7
228,mine,7
229,call,7
230,power,7
231,lovely,7
232,choose,7
233,sunshine,7
234,yourself.,7
235,it’s,7
236,free,7
237,important,7
238,big,7
239,another,7
240,use,7
241,up.,7
242,strong,7
243,joy,7
244,i'll,7
245,good.,6
246,girls,6
247,bit,6
248,shall,6
249,forever,6
250,spent,6
251,knows,6
252,attitude,6
253,thankful,6
254,meant,6
255,loads,6
256,came,6
257,reason,6
258,sense,6
259,walk,6
260,moments,6
261,brings,6
262,Be,6
263,done,6
264,key,6
265,special,6
266,stories,6
267,spread,6
268,grateful,6
269,beautiful.,6
270,kill,6
271,count,6
272,depression,6
273,choice.,6
274,whatever,6
275,stars,6
276,moon,6
277,flower,6
278,It,6
279,youre,6
280,nobody,6
281,said,6
282,short,6
283,lights,6
284,turning,6
285,worry,6
286,felt,6
287,smiles,6
288,courage,6
289,becomes,6
290,moving,6
291,He,6
292,fight,6
293,lost,6
294,realize,6
295,time.,6
296,moment,6
297,wrong,6
298,hot,6
299,single,6
300,universe,6
301,head,6
302,home,6
303,You,6
304,cry,6
305,tell,6
306,looking,6
307,leave,6
308,worked,6
309,sky,6
310,save,6
311,behind,6
312,minute,5
313,harder,5
314,body,5
315,emotions,5
316,doesn’t,5
317,care,5
318,treat,5
319,able,5
320,within,5
321,delhi,5
322,sun,5
323,"heart,",5
324,beginning,5
325,dream,5
326,put,5
327,memories,5
328,face.,5
329,today.,5
330,wonderful,5
331,party,5
332,My,5
333,fire,5
334,week,5
335,small,5
336,tomorrow,5
337,born,5
338,smiling,5
339,human,5
340,mad,5
341,rich,5
342,comes,5
343,blessed,5
344,that’s,5
345,things.,5
346,less,5
347,poetry,5
348,read,5
349,fake,5
350,help,5
351,ill,5
352,do.,5
353,responsibility,5
354,known,5
355,happen,5
356,dark,5
357,easy,5
358,looks,5
359,lies,5
360,end,5
361,on.,5
362,confidence,5
363,hands,5
364,changing,5
365,simply,5
366,express,5
367,learning,5
368,brave,5
369,oppurtunities,5
370,lives,5
371,anyone,5
372,control,5
373,proud,5
374,longer,5
375,promise,5
376,around,5
377,here's,5
378,relationships,5
379,friendship,5
380,ur,5
381,one.,5
382,taking,5
383,cool,5
384,baby,5
385,guy,5
386,music,5
387,much.,5
388,christmas,5
389,"smile,",5
390,vibes,5
